moneda,rating,link_producto,id,precio_num,marca,modelo_descripcion,almacenamiento_gb
S/,5.0,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=TuuB026dT%2BG3eX4%2BIWneBD4b4AWImsowZpTSolxInZJj%2Bk5bdrGFxYuoQ%2F1q7olg08Jj%2FOS3us99yHllObvYUjRYLSJUTCY4%2BhzqR1Xja6IBq1%2BGVcC6cwx0MUbEge2JQjwENmKjQIC5Ojd5GBX7MbYdX698%2BlCEAHAGX2Yw6Uep45pR0nI570J8B8zwusTFpWvPD%2B4nBA88zobGVAZd3bZsw4BMRQmovvaqp79qn%2FpK4w3fmVEVR%2ByYN4Y8dPCVEXT%2Fn2pzP4nUL7ifXbfE56uswlJGPJ3HklnDaPu%2B3RQIj6OrRGfnLzb%2BMesltyRwfiaummrUdY9vIJweV1F6Dz5s1piLcW0%2B4FL1fwdzheU%2FzkeRL%2BsUo4znJD6hSmcwmTUHljoAr2xc0UHoueNoC3tCIh2dqzPmvarALnxIFg8n9t46fBTIHoDZ98W8AkZmveRXDPOGCAryytk3dskdy8dZBEvwbw%2Bi3lU%2FgFjaYH71cRzLFvV%2Fn08z5JqPARMqcFVFhzMnJunQ%2BYJelkBMjAeJ1cEe9Arc2kCWww7oRTm%2F7WECRo548GMGyha6aXLerhrMEAxWnwjfe71T9FEmNwtuLC9Y6jPRjHnrxzFb2jb31Lpzx2oewgHvNIjA4dVC7ujxDYJxlkl%2BNXTMxJA92pwg2ILdm8g726zPltEdvB161Hogo5MDHB6C45YkYuQpy%2F5FVg8j0Ea9F19H1duinq4td6qCs7QGQmDMH7AghDqZPW78S9HGIaHLs6sGtJhudTVkCYmsOUx0QQ8tbaZwX5nqYwD%2FxxjglhmuUQ7MdR8DTMdPdE9SzfD5lwjiXUSqviqjU2Ncv6AyqmRKpJ1brnIzh0tBfwgIcLZTv9DjcasQlKoLkE8YEhih%2BPWbRuyIMhSXdRGQy3KUSU6qnrJW%2BaEh8LlWGIh6WD5LkNqPdUg%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MPE27801531&backend_model=search-backend&search_layout=grid&position=1&type=pad&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE855626554&sid=search,1,1998.83,Xiaomi,13T Dual SIM 256 GB negro 12 GB RAM,256.0
S/,5.0,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=vpv4XMpcyhOn3oCbOK5oeadCLdyLfeYM4cXR57JW6%2Bpnl2LVG1LCK43KkliFfeT4KIe%2BfDFgrhaGh0qQ%2BT8e7xjZB6AnjIZOU7SEQ5PfRv8yXSbEto8ExeDssRsaaL1ebRH0oIvATLjxJWDFNdK8mc0mR7cYS1jnzY4fvE1nhzb4TCh9gQjUefNPMUTRZzaPMVU2loVdUnnNgN7u72mB%2FE8b3XNtSRrFG5mEu4%2FChOqaR%2FPOLVIchWawR1%2BbH0Mbu8Rx5Ya44IYBlVazjboR9SvcVqU8OiBX8YN6F%2BmQd%2BU%2Ba6O63vpbyV2I5DrwTr6SoMcTAEd8OLS7mNWDkQpgxyNRFWg9DwTYsvIRIffmySO7lKUZbjRcQCmHEVv%2FeAGAt02SW3giTh%2FKA4gaF4e11TDfMqRhBdlWG6fKJ%2BYRlA%2BIgylqGTjsYLP3DQI8xqWTzDOWsMAoG5fQ7iNxU5auCNVYCKzhoN6YcFH%2F7TrbLFywdX8k2SvW50lgHM9dgmD5hXv7lbzqd%2FR9BCwpBTaSHjGwDFzUfu51wBLHox6LTFpqnVO3rLlJ2E%2Bl767dzQHLvLkQtJ6N6Cp%2FnrZbEVeBrYp0RJ%2FTPxE%2B02U1%2FaNLGYCWDjHYHJwyYVaoDlXbieLXowPlyFd%2F5wfx2fRMxJCCGZwsmcJWjwagTTZ8uEaQWRGkeVmmdwOrmL5kUTMRqRhm7fpdoX2kZpg%2BSPASz4WPlwTSBigMxo2x7g%2B0YL9tmLh3lyVqShZ9ne1bdik1Hyhp5fkMRyQAm%2BqlZ4EmBoJhMxfIXffns03kwUIuLS2YONFUFi1Z49jLM9q3SDV6F7Pc9T39CAPUNXIduHaqVNQIdo3xlNUKtLn9AGwliSwlSvLossZK0xga6scSuPITgUCpB%2FMQsds2OJu2kl2KsrQ%2Bg0CUob1N6fhemnzxiqMMOmELBlcuAZOnstUIEd7PSEj1uriTuDneu4l88sQ%2BVdcaqQ%3D%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MPE1055308620&backend_model=search-backend&search_layout=grid&position=2&type=pad&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE878179002&sid=search,2,7176.83,Apple,17 Pro Max (256 GB) - Naranja cósmico - Distribuidor Autorizado,256.0
S/,4.7,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=NZaMATw74vK%2FRC0X%2BXqx6Ly1N3aMfSfkgMstFkp5Qeuw1zjnS9pXphVx%2F7VZSrcff2BZgjBy3%2B7O7bIpZt%2FQKuhR8FDP%2FDhQQ43DXb4XpEssKjGWukB1PB9v243GIOEQRJo%2Fdcj2LELypWR8htrssH%2BzOcaafP3sjvXCJxiiY4TdUFPX3CjKBUunvjPPvJookIah8J6BKMFsN94YHScfV7GLoy3EezYgzzq3DgGf0MANi4hsZRIG4NZNlK7HxbIb63hRiNTyCc5Up9YWcci2ZnIHZ9%2FD2STvNL%2FmxxetWzvnIBNXf5pesCJmzE7hZikKA1K7yzRT9blnVa7EbZxVaR5nz7famPWeKiIQMJ5wzYUGw%2FcOn%2B6D7t7qS4TJmPg%2BZ4gYeGHbW50qj%2F9g2QCcUYELh4bjGm2%2BYTcLjvKFk4pcjPndDJuVyrJhmqQh46SxD%2BHrjY4ITQNh8PJ%2BLvS65c9uya1WU4Zz5eJeNUyEeVQFmXD3tUus9mMFyhhk54aTPn65E6oZDlOoco0tgGKqcV%2FM7C%2BLzl6H50Zg2MTu40Cb1zAwvCzbWC9r3M0NH0%2Bz%2FXGWFVn9XnmDcfgUuj0vYcMPtyQGFXBdPtAaWHjklVm4RUHLE7rF6c%2FKqYk0c%2BGgmG8CXouMLA7abyOQnteYKXx6IAIQrj6xpQ%2BzLl%2BBfMGlKQV0qSPei7RkB%2B3FNpUgtiLQcx5trvTYpuiUAOlHHepYM8dzE8fYBkoNCg8bBhrfbiqgUgbrsrv8JNFtZQGVFKH%2Bvr1QuPivTra%2BxhJHWBe0XtvXajLPG509ja%2Boy0%2FEZL4Q7HdkxxKWq5TlTrQyWGlqbPClPe7y086b%2Ftc%2B1Z2pU%2B0pc1fuvJF398IKQZA2O%2FBy%2BmB5mwukV7cS4TzSdn5TsmJVGSqDU9i9LA0SyKNFbjxtRKwciEFlQ0XcdU1ELooSfB0dwlo68bMkX9k%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MPE21394695&backend_model=search-backend&search_layout=grid&position=3&type=pad&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE855639462&sid=search,3,2776.5,Samsung,Galaxy S23 Plus Dual SIM 256 GB lavander 8 GB RAM,256.0
S/,5.0,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=1AivkqTZmrfNk58vdS3tkrKssmKwKoR3SW4irjx1SfbGINDRiFMY%2FWfws1zPtYJVPNYlJBvH0eraXytBUEKuF41d7dKP%2BPVX2TvSBIsrJ5wNHsdEBSS1M6J3LNgT5RLWg%2Fm5X20GyS%2F0P1s%2BlPyIzAW6e7x0BOuxAWOniOGVpzsuf2OADc62%2F1egTUvaSfcqzg3wiWtQd50TF%2FcIQWYExsFTFtO3uKVAEFtNY%2Bo0TUThvU2oQ6NVEIM3ZPvON9N0G906Raj8ZHnfq2oRemfyDuzJiJ5MHmrrvXKPtMpfMormKfbPjCh3mf7UV2fwUEyZAEPd3jYDLPFuWYc5kaDW5fudRUAXIcDtjHFUOIchXT5LBi%2B6TOLgt4BR0DxZ%2FFBGWgLVrrCwMcBBTgMNccV7n4BRQOtDAzo13RcOXFEQwBD3XElZIrp%2FM6kcRhB5RFnEUIi7YBRorWrHLX0MMVLCufdOZuyAZIAMuiKQfs1sYUvHTmGnmWQMn5wvlVjoPYUfr5OWYoY%2F1m6xR6htGXcmgBrAtXTmRAAZ09hEIcW5KYSA%2FYzMSDCB7CCNKZomnbVHZkE%2FZ5tDbQLK5MlpY9ypN%2BnEYKoceLSlothVfm33H1FLy2aUNwA%2FAHi2jeYztb1%2Fr%2FoTL23jBldCqX9XFNv0qVnqy9b92%2BoUbvZcZcb%2BxI%2Fpmy3zIcrIllu6NsWTjyDyVTbvewgmmv5LF4QYH44ibdHx5ugyld2GeRKJYltlkWqOXr%2Bpy%2FlMi4UL0MTMt2ZYaLDQdLvWRUqEhBHnRDVaC%2BUwcRIyL57ZJwsXkqwbZHrY0Ar0ACbsK8Z%2FbgIVyOAAY4F00aBHAmjh5ZFA4EBPLD%2BqN%2FHlZbkl%2FAUKR6CGhOFvoBGQtZCPBoAtromvpPbltA3rpHdR3F4DiN8L%2Bag%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MPE40169545&backend_model=search-backend&search_layout=grid&position=4&type=pad&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE855639608&sid=search,4,1554.17,Oppo,Reno12 F 5g Naranja,
S/,4.9,https://www.mercadolibre.com.pe/samsung-galaxy-s25-ultra-512gb-titanium-black/p/MPE45513937#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE799893142&sid=search,5,6499.5,Samsung,Galaxy S25 Ultra 512gb Titanium Black,512.0
S/,4.8,https://www.mercadolibre.com.pe/xiaomi-poco-x7-pro-5g-512gb-verde-12ram-50mpx/p/MPE45680391#polycard_client=search-nordic&search_layout=grid&position=6&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE704345864&sid=search,6,1999.5,Xiaomi,Poco X7 Pro 5g 512gb Verde 12ram 50mpx,512.0
S/,4.8,https://www.mercadolibre.com.pe/apple-iphone-13-128-gb-azul-medianoche-distribuidor-autorizado/p/MPE1018500844#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE618771217&sid=search,7,2237.83,Apple,13 (128 GB) - Azul medianoche - Distribuidor Autorizado,128.0
S/,4.8,https://www.mercadolibre.com.pe/cel-samsung-a56-12-gb-ram-256-gb-5g-67-pulgadas-rosa/p/MPE47797574#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE892193260&sid=search,8,1500.67,Samsung,A56 12 Gb Ram 256 Gb 5g 6.7 Pulgadas Rosa,12.0
S/,4.8,https://www.mercadolibre.com.pe/apple-iphone-16-128-gb-ultramarino/p/MPE40287800#polycard_client=search-nordic&search_layout=grid&position=9&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE699808066&sid=search,9,2899.5,Apple,16 (128 GB) - Ultramarino,128.0
S/,4.8,https://www.mercadolibre.com.pe/xiaomi-redmi-note-14-pro-plus-5g-dual-sim-512-gb-negro-12-gb-ram/p/MPE47221704#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=bd4695fd-29a3-4f87-8ce0-51c32ccaf389&wid=MPE706909678&sid=search,10,1343.83,Xiaomi,Redmi Note 14 Pro Plus 5G Dual SIM 512 GB negro 12 GB RAM,512.0
